"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.50000000000E+009, -7.92798122444E-001, +0.00000000000E+000
+3.50200000000E+009, -7.97952125667E-001, +0.00000000000E+000
+3.50400000000E+009, -7.91687779893E-001, +0.00000000000E+000
+3.50600000000E+009, -7.91528333909E-001, +0.00000000000E+000
+3.50800000000E+009, -7.87858975094E-001, +0.00000000000E+000
+3.51000000000E+009, -7.86137055167E-001, +0.00000000000E+000
+3.51200000000E+009, -7.78988405203E-001, +0.00000000000E+000
+3.51400000000E+009, -7.74140686096E-001, +0.00000000000E+000
+3.51600000000E+009, -7.71153636105E-001, +0.00000000000E+000
+3.51800000000E+009, -7.65220974505E-001, +0.00000000000E+000
+3.52000000000E+009, -7.60029991892E-001, +0.00000000000E+000
+3.52200000000E+009, -7.54352299782E-001, +0.00000000000E+000
+3.52400000000E+009, -7.55164794085E-001, +0.00000000000E+000
+3.52600000000E+009, -7.53582255173E-001, +0.00000000000E+000
+3.52800000000E+009, -7.51626952118E-001, +0.00000000000E+000
+3.53000000000E+009, -7.48529241860E-001, +0.00000000000E+000
+3.53200000000E+009, -7.52940051638E-001, +0.00000000000E+000
+3.53400000000E+009, -7.59917232045E-001, +0.00000000000E+000
+3.53600000000E+009, -7.64521634136E-001, +0.00000000000E+000
+3.53800000000E+009, -7.68789193880E-001, +0.00000000000E+000
+3.54000000000E+009, -7.78418659568E-001, +0.00000000000E+000
+3.54200000000E+009, -7.82648344440E-001, +0.00000000000E+000
+3.54400000000E+009, -7.89961876997E-001, +0.00000000000E+000
+3.54600000000E+009, -7.98464339950E-001, +0.00000000000E+000
+3.54800000000E+009, -8.03182111809E-001, +0.00000000000E+000
+3.55000000000E+009, -8.08347624769E-001, +0.00000000000E+000
+3.55200000000E+009, -8.13200196609E-001, +0.00000000000E+000
+3.55400000000E+009, -8.16362423308E-001, +0.00000000000E+000
+3.55600000000E+009, -8.20519138102E-001, +0.00000000000E+000
+3.55800000000E+009, -8.17952246361E-001, +0.00000000000E+000
+3.56000000000E+009, -8.20399347568E-001, +0.00000000000E+000
+3.56200000000E+009, -8.15554944019E-001, +0.00000000000E+000
+3.56400000000E+009, -8.14008607341E-001, +0.00000000000E+000
+3.56600000000E+009, -8.07950468313E-001, +0.00000000000E+000
+3.56800000000E+009, -8.03614232251E-001, +0.00000000000E+000
+3.57000000000E+009, -7.96919087161E-001, +0.00000000000E+000
+3.57200000000E+009, -7.87673592388E-001, +0.00000000000E+000
+3.57400000000E+009, -7.84025616842E-001, +0.00000000000E+000
+3.57600000000E+009, -7.74674564694E-001, +0.00000000000E+000
+3.57800000000E+009, -7.67553574954E-001, +0.00000000000E+000
+3.58000000000E+009, -7.62509002506E-001, +0.00000000000E+000
+3.58200000000E+009, -7.54197995655E-001, +0.00000000000E+000
+3.58400000000E+009, -7.51848156457E-001, +0.00000000000E+000
+3.58600000000E+009, -7.43745327616E-001, +0.00000000000E+000
+3.58800000000E+009, -7.41043697170E-001, +0.00000000000E+000
+3.59000000000E+009, -7.42587677624E-001, +0.00000000000E+000
+3.59200000000E+009, -7.41904369971E-001, +0.00000000000E+000
+3.59400000000E+009, -7.41402313870E-001, +0.00000000000E+000
+3.59600000000E+009, -7.45038337493E-001, +0.00000000000E+000
+3.59800000000E+009, -7.49500706437E-001, +0.00000000000E+000
+3.60000000000E+009, -7.51098726578E-001, +0.00000000000E+000
+3.60200000000E+009, -7.55821498654E-001, +0.00000000000E+000
+3.60400000000E+009, -7.59044275222E-001, +0.00000000000E+000
+3.60600000000E+009, -7.67562895163E-001, +0.00000000000E+000
+3.60800000000E+009, -7.72139763031E-001, +0.00000000000E+000
+3.61000000000E+009, -7.78967025567E-001, +0.00000000000E+000
+3.61200000000E+009, -7.84210527565E-001, +0.00000000000E+000
+3.61400000000E+009, -7.88324743485E-001, +0.00000000000E+000
+3.61600000000E+009, -7.90898359294E-001, +0.00000000000E+000
+3.61800000000E+009, -7.91764531942E-001, +0.00000000000E+000
+3.62000000000E+009, -7.96183984922E-001, +0.00000000000E+000
+3.62200000000E+009, -7.96540158832E-001, +0.00000000000E+000
+3.62400000000E+009, -7.93127950206E-001, +0.00000000000E+000
+3.62600000000E+009, -7.90712851624E-001, +0.00000000000E+000
+3.62800000000E+009, -7.89121150528E-001, +0.00000000000E+000
+3.63000000000E+009, -7.86986207634E-001, +0.00000000000E+000
+3.63200000000E+009, -7.80444543821E-001, +0.00000000000E+000
+3.63400000000E+009, -7.77902265119E-001, +0.00000000000E+000
+3.63600000000E+009, -7.74491426119E-001, +0.00000000000E+000
+3.63800000000E+009, -7.71007422284E-001, +0.00000000000E+000
+3.64000000000E+009, -7.67028496478E-001, +0.00000000000E+000
+3.64200000000E+009, -7.64354814645E-001, +0.00000000000E+000
+3.64400000000E+009, -7.62918061950E-001, +0.00000000000E+000
+3.64600000000E+009, -7.68586960713E-001, +0.00000000000E+000
+3.64800000000E+009, -7.65674696303E-001, +0.00000000000E+000
+3.65000000000E+009, -7.71968595615E-001, +0.00000000000E+000
+3.65200000000E+009, -7.72705240565E-001, +0.00000000000E+000
+3.65400000000E+009, -7.76153022111E-001, +0.00000000000E+000
+3.65600000000E+009, -7.84550649294E-001, +0.00000000000E+000
+3.65800000000E+009, -7.89581477118E-001, +0.00000000000E+000
+3.66000000000E+009, -7.99605361003E-001, +0.00000000000E+000
+3.66200000000E+009, -8.04935633095E-001, +0.00000000000E+000
+3.66400000000E+009, -8.12946183998E-001, +0.00000000000E+000
+3.66600000000E+009, -8.19205616724E-001, +0.00000000000E+000
+3.66800000000E+009, -8.23780659386E-001, +0.00000000000E+000
+3.67000000000E+009, -8.28416057305E-001, +0.00000000000E+000
+3.67200000000E+009, -8.31992324574E-001, +0.00000000000E+000
+3.67400000000E+009, -8.34985505050E-001, +0.00000000000E+000
+3.67600000000E+009, -8.37128565384E-001, +0.00000000000E+000
+3.67800000000E+009, -8.32273800999E-001, +0.00000000000E+000
+3.68000000000E+009, -8.30250399000E-001, +0.00000000000E+000
+3.68200000000E+009, -8.23231424940E-001, +0.00000000000E+000
+3.68400000000E+009, -8.18420232178E-001, +0.00000000000E+000
+3.68600000000E+009, -8.11101004311E-001, +0.00000000000E+000
+3.68800000000E+009, -8.04075671699E-001, +0.00000000000E+000
+3.69000000000E+009, -7.94365108134E-001, +0.00000000000E+000
+3.69200000000E+009, -7.85982101126E-001, +0.00000000000E+000
+3.69400000000E+009, -7.77580449800E-001, +0.00000000000E+000
+3.69600000000E+009, -7.69241660703E-001, +0.00000000000E+000
+3.69800000000E+009, -7.61494451949E-001, +0.00000000000E+000
+3.70000000000E+009, -7.59650097508E-001, +0.00000000000E+000
+3.70200000000E+009, -7.57761630845E-001, +0.00000000000E+000
+3.70400000000E+009, -7.52376407363E-001, +0.00000000000E+000
+3.70600000000E+009, -7.51844908203E-001, +0.00000000000E+000
+3.70800000000E+009, -7.55014188309E-001, +0.00000000000E+000
+3.71000000000E+009, -7.57635325489E-001, +0.00000000000E+000
+3.71200000000E+009, -7.60767031003E-001, +0.00000000000E+000
+3.71400000000E+009, -7.67745869790E-001, +0.00000000000E+000
+3.71600000000E+009, -7.72452685315E-001, +0.00000000000E+000
+3.71800000000E+009, -7.78361550090E-001, +0.00000000000E+000
+3.72000000000E+009, -7.86334452101E-001, +0.00000000000E+000
+3.72200000000E+009, -7.93565261837E-001, +0.00000000000E+000
+3.72400000000E+009, -7.97039503837E-001, +0.00000000000E+000
+3.72600000000E+009, -8.01101971280E-001, +0.00000000000E+000
+3.72800000000E+009, -8.04992883470E-001, +0.00000000000E+000
+3.73000000000E+009, -8.03686657369E-001, +0.00000000000E+000
+3.73200000000E+009, -8.04394071439E-001, +0.00000000000E+000
+3.73400000000E+009, -8.03748168834E-001, +0.00000000000E+000
+3.73600000000E+009, -8.01488870312E-001, +0.00000000000E+000
+3.73800000000E+009, -7.97336622663E-001, +0.00000000000E+000
+3.74000000000E+009, -7.91178054664E-001, +0.00000000000E+000
+3.74200000000E+009, -7.86955775484E-001, +0.00000000000E+000
+3.74400000000E+009, -7.83410910708E-001, +0.00000000000E+000
+3.74600000000E+009, -7.79243519258E-001, +0.00000000000E+000
+3.74800000000E+009, -7.76122502105E-001, +0.00000000000E+000
+3.75000000000E+009, -7.68977795921E-001, +0.00000000000E+000
+3.75200000000E+009, -7.66908900588E-001, +0.00000000000E+000
+3.75400000000E+009, -7.63396395620E-001, +0.00000000000E+000
+3.75600000000E+009, -7.63843943539E-001, +0.00000000000E+000
+3.75800000000E+009, -7.66169036424E-001, +0.00000000000E+000
+3.76000000000E+009, -7.68043972956E-001, +0.00000000000E+000
+3.76200000000E+009, -7.74009818390E-001, +0.00000000000E+000
+3.76400000000E+009, -7.75687493462E-001, +0.00000000000E+000
+3.76600000000E+009, -7.81837302389E-001, +0.00000000000E+000
+3.76800000000E+009, -7.88161672636E-001, +0.00000000000E+000
+3.77000000000E+009, -7.93466956037E-001, +0.00000000000E+000
+3.77200000000E+009, -8.00988951368E-001, +0.00000000000E+000
+3.77400000000E+009, -8.06717504831E-001, +0.00000000000E+000
+3.77600000000E+009, -8.10697049390E-001, +0.00000000000E+000
+3.77800000000E+009, -8.15620935732E-001, +0.00000000000E+000
+3.78000000000E+009, -8.19823026912E-001, +0.00000000000E+000
+3.78200000000E+009, -8.22095557745E-001, +0.00000000000E+000
+3.78400000000E+009, -8.21654942209E-001, +0.00000000000E+000
+3.78600000000E+009, -8.23813267084E-001, +0.00000000000E+000
+3.78800000000E+009, -8.19632636652E-001, +0.00000000000E+000
+3.79000000000E+009, -8.22138298886E-001, +0.00000000000E+000
+3.79200000000E+009, -8.14824627403E-001, +0.00000000000E+000
+3.79400000000E+009, -8.11079391880E-001, +0.00000000000E+000
+3.79600000000E+009, -8.08106004277E-001, +0.00000000000E+000
+3.79800000000E+009, -8.06140664102E-001, +0.00000000000E+000
+3.80000000000E+009, -8.00163436966E-001, +0.00000000000E+000
+3.80200000000E+009, -7.95703692469E-001, +0.00000000000E+000
+3.80400000000E+009, -7.93879568582E-001, +0.00000000000E+000
+3.80600000000E+009, -7.92029137728E-001, +0.00000000000E+000
+3.80800000000E+009, -7.89199277890E-001, +0.00000000000E+000
+3.81000000000E+009, -7.90061943473E-001, +0.00000000000E+000
+3.81200000000E+009, -7.91129402575E-001, +0.00000000000E+000
+3.81400000000E+009, -7.92843379780E-001, +0.00000000000E+000
+3.81600000000E+009, -7.90970099984E-001, +0.00000000000E+000
+3.81800000000E+009, -7.93906493812E-001, +0.00000000000E+000
+3.82000000000E+009, -7.97188892479E-001, +0.00000000000E+000
+3.82200000000E+009, -8.01002907917E-001, +0.00000000000E+000
+3.82400000000E+009, -8.02504397946E-001, +0.00000000000E+000
+3.82600000000E+009, -8.02549285489E-001, +0.00000000000E+000
+3.82800000000E+009, -8.06934417567E-001, +0.00000000000E+000
+3.83000000000E+009, -8.06948869613E-001, +0.00000000000E+000
+3.83200000000E+009, -8.04516605479E-001, +0.00000000000E+000
+3.83400000000E+009, -8.04745125439E-001, +0.00000000000E+000
+3.83600000000E+009, -8.01718285104E-001, +0.00000000000E+000
+3.83800000000E+009, -7.98985444547E-001, +0.00000000000E+000
+3.84000000000E+009, -7.93532399475E-001, +0.00000000000E+000
+3.84200000000E+009, -7.91366175373E-001, +0.00000000000E+000
+3.84400000000E+009, -7.85419659916E-001, +0.00000000000E+000
+3.84600000000E+009, -7.81628350597E-001, +0.00000000000E+000
+3.84800000000E+009, -7.79232236069E-001, +0.00000000000E+000
+3.85000000000E+009, -7.75797268233E-001, +0.00000000000E+000
+3.85200000000E+009, -7.72462062132E-001, +0.00000000000E+000
+3.85400000000E+009, -7.71260373836E-001, +0.00000000000E+000
+3.85600000000E+009, -7.67225569370E-001, +0.00000000000E+000
+3.85800000000E+009, -7.67583778345E-001, +0.00000000000E+000
+3.86000000000E+009, -7.66502898764E-001, +0.00000000000E+000
+3.86200000000E+009, -7.69601909812E-001, +0.00000000000E+000
+3.86400000000E+009, -7.70672828877E-001, +0.00000000000E+000
+3.86600000000E+009, -7.75277174513E-001, +0.00000000000E+000
+3.86800000000E+009, -7.79663917932E-001, +0.00000000000E+000
+3.87000000000E+009, -7.85780730755E-001, +0.00000000000E+000
+3.87200000000E+009, -7.94432566070E-001, +0.00000000000E+000
+3.87400000000E+009, -7.98997847733E-001, +0.00000000000E+000
+3.87600000000E+009, -8.02675101268E-001, +0.00000000000E+000
+3.87800000000E+009, -8.09219904238E-001, +0.00000000000E+000
+3.88000000000E+009, -8.13926941816E-001, +0.00000000000E+000
+3.88200000000E+009, -8.21493788984E-001, +0.00000000000E+000
+3.88400000000E+009, -8.26662501659E-001, +0.00000000000E+000
+3.88600000000E+009, -8.29624085095E-001, +0.00000000000E+000
+3.88800000000E+009, -8.28672916925E-001, +0.00000000000E+000
+3.89000000000E+009, -8.32999320844E-001, +0.00000000000E+000
+3.89200000000E+009, -8.32302494589E-001, +0.00000000000E+000
+3.89400000000E+009, -8.31633528481E-001, +0.00000000000E+000
+3.89600000000E+009, -8.29969889714E-001, +0.00000000000E+000
+3.89800000000E+009, -8.29103765268E-001, +0.00000000000E+000
+3.90000000000E+009, -8.25492586532E-001, +0.00000000000E+000
