# Channel 1,
# Tx_Cable_IL,
Frequency,IL
3.50E+09,-4.46E+01
3.50E+09,-4.46E+01
3.50E+09,-4.47E+01
3.51E+09,-4.47E+01
3.51E+09,-4.47E+01
3.51E+09,-4.49E+01
3.51E+09,-4.50E+01
3.51E+09,-4.51E+01
3.52E+09,-4.51E+01
3.52E+09,-4.52E+01
3.52E+09,-4.50E+01
3.52E+09,-4.51E+01
3.52E+09,-4.52E+01
3.53E+09,-4.50E+01
3.53E+09,-4.50E+01
3.53E+09,-4.50E+01
3.53E+09,-4.49E+01
3.53E+09,-4.49E+01
3.54E+09,-4.48E+01
3.54E+09,-4.48E+01
3.54E+09,-4.47E+01
3.54E+09,-4.45E+01
3.54E+09,-4.44E+01
3.55E+09,-4.44E+01
3.55E+09,-4.46E+01
3.55E+09,-4.44E+01
3.55E+09,-4.43E+01
3.55E+09,-4.44E+01
3.56E+09,-4.44E+01
3.56E+09,-4.46E+01
3.56E+09,-4.45E+01
3.56E+09,-4.46E+01
3.56E+09,-4.47E+01
3.57E+09,-4.46E+01
3.57E+09,-4.48E+01
3.57E+09,-4.48E+01
3.57E+09,-4.49E+01
3.57E+09,-4.48E+01
3.58E+09,-4.49E+01
3.58E+09,-4.50E+01
3.58E+09,-4.50E+01
3.58E+09,-4.51E+01
3.58E+09,-4.51E+01
3.59E+09,-4.50E+01
3.59E+09,-4.50E+01
3.59E+09,-4.49E+01
3.59E+09,-4.50E+01
3.59E+09,-4.48E+01
3.60E+09,-4.48E+01
3.60E+09,-4.47E+01
3.60E+09,-4.47E+01
3.60E+09,-4.46E+01
3.60E+09,-4.45E+01
3.61E+09,-4.46E+01
3.61E+09,-4.46E+01
3.61E+09,-4.45E+01
3.61E+09,-4.43E+01
3.61E+09,-4.45E+01
3.62E+09,-4.45E+01
3.62E+09,-4.45E+01
3.62E+09,-4.46E+01
3.62E+09,-4.47E+01
3.62E+09,-4.47E+01
3.63E+09,-4.47E+01
3.63E+09,-4.48E+01
3.63E+09,-4.48E+01
3.63E+09,-4.49E+01
3.63E+09,-4.49E+01
3.64E+09,-4.49E+01
3.64E+09,-4.48E+01
3.64E+09,-4.49E+01
3.64E+09,-4.48E+01
3.64E+09,-4.48E+01
3.65E+09,-4.47E+01
3.65E+09,-4.47E+01
3.65E+09,-4.47E+01
3.65E+09,-4.45E+01
3.65E+09,-4.44E+01
3.66E+09,-4.43E+01
3.66E+09,-4.42E+01
3.66E+09,-4.42E+01
3.66E+09,-4.42E+01
3.66E+09,-4.42E+01
3.67E+09,-4.42E+01
3.67E+09,-4.43E+01
3.67E+09,-4.42E+01
3.67E+09,-4.43E+01
3.67E+09,-4.43E+01
3.68E+09,-4.43E+01
3.68E+09,-4.43E+01
3.68E+09,-4.45E+01
3.68E+09,-4.46E+01
3.68E+09,-4.47E+01
3.69E+09,-4.47E+01
3.69E+09,-4.47E+01
3.69E+09,-4.48E+01
3.69E+09,-4.49E+01
3.69E+09,-4.49E+01
3.70E+09,-4.48E+01
3.70E+09,-4.48E+01
3.70E+09,-4.47E+01
3.70E+09,-4.48E+01
3.70E+09,-4.47E+01
3.71E+09,-4.46E+01
3.71E+09,-4.46E+01
3.71E+09,-4.45E+01
3.71E+09,-4.45E+01
3.71E+09,-4.44E+01
3.72E+09,-4.46E+01
3.72E+09,-4.43E+01
3.72E+09,-4.44E+01
3.72E+09,-4.44E+01
3.72E+09,-4.44E+01
3.73E+09,-4.45E+01
3.73E+09,-4.44E+01
3.73E+09,-4.44E+01
3.73E+09,-4.46E+01
3.73E+09,-4.46E+01
3.74E+09,-4.46E+01
3.74E+09,-4.46E+01
3.74E+09,-4.47E+01
3.74E+09,-4.46E+01
3.74E+09,-4.48E+01
3.75E+09,-4.47E+01
3.75E+09,-4.46E+01
3.75E+09,-4.46E+01
3.75E+09,-4.45E+01
3.75E+09,-4.44E+01
3.76E+09,-4.43E+01
3.76E+09,-4.42E+01
3.76E+09,-4.42E+01
3.76E+09,-4.42E+01
3.76E+09,-4.41E+01
3.77E+09,-4.42E+01
3.77E+09,-4.40E+01
3.77E+09,-4.42E+01
3.77E+09,-4.41E+01
3.77E+09,-4.41E+01
3.78E+09,-4.42E+01
3.78E+09,-4.42E+01
3.78E+09,-4.41E+01
3.78E+09,-4.44E+01
3.78E+09,-4.44E+01
3.79E+09,-4.44E+01
3.79E+09,-4.44E+01
3.79E+09,-4.45E+01
3.79E+09,-4.45E+01
3.79E+09,-4.45E+01
3.80E+09,-4.45E+01
3.80E+09,-4.46E+01
3.80E+09,-4.46E+01
3.80E+09,-4.46E+01
3.80E+09,-4.45E+01
3.81E+09,-4.46E+01
3.81E+09,-4.44E+01
3.81E+09,-4.45E+01
3.81E+09,-4.44E+01
3.81E+09,-4.42E+01
3.82E+09,-4.45E+01
3.82E+09,-4.43E+01
3.82E+09,-4.43E+01
3.82E+09,-4.43E+01
3.82E+09,-4.43E+01
3.83E+09,-4.43E+01
3.83E+09,-4.44E+01
3.83E+09,-4.43E+01
3.83E+09,-4.44E+01
3.83E+09,-4.44E+01
3.84E+09,-4.44E+01
3.84E+09,-4.44E+01
3.84E+09,-4.44E+01
3.84E+09,-4.44E+01
3.84E+09,-4.45E+01
3.85E+09,-4.44E+01
3.85E+09,-4.43E+01
3.85E+09,-4.42E+01
3.85E+09,-4.43E+01
3.85E+09,-4.42E+01
3.86E+09,-4.42E+01
3.86E+09,-4.41E+01
3.86E+09,-4.40E+01
3.86E+09,-4.41E+01
